timestap;event;symbol;period;magic;bid;ask;spread;ticket;op;lots;price;sl;tp;slip;result;error;floating_pl;closed_pl_today;vwap;basket_tp;note
2025.07.23 19:35:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17238;1.17240;2;815;1;0.01;1.17238;0.00000;1.17208;0;1;0;-0.04;19.95;;;
2025.07.23 19:40:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17257;1.17259;2;0;1;0.01;1.17257;0.00000;0.00000;5;0;0;-0.23;19.95;;;EURUSD-Euro Scalper-1
2025.07.23 19:40:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17257;1.17259;2;816;1;0.01;1.17257;0.00000;0.00000;5;1;0;-0.27;19.95;;;EURUSD-Euro Scalper-1
2025.07.23 19:40:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17257;1.17259;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.27;19.95;;;vwap=1.17248; basket_tp=1.17218
2025.07.23 19:40:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17257;1.17259;2;816;1;0.01;1.17248;0.00000;1.17218;0;0;0;-0.27;19.95;;;
2025.07.23 19:40:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17257;1.17259;2;816;1;0.01;1.17248;0.00000;1.17218;0;1;0;-0.27;19.95;;;
2025.07.23 19:40:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17257;1.17259;2;815;1;0.01;1.17248;0.00000;1.17218;0;0;0;-0.27;19.95;;;
2025.07.23 19:40:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17257;1.17259;2;815;1;0.01;1.17248;0.00000;1.17218;0;1;0;-0.27;19.95;;;
2025.07.23 19:45:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17243;1.17245;2;0;1;0.01;1.17243;0.00000;0.00000;5;0;0;0.00;20.50;;;EURUSD-Euro Scalper-0
2025.07.23 19:45:00;ORDER_SEND_RESULT;EURUSD;5;101111;1.17243;1.17245;2;817;1;0.01;1.17243;0.00000;0.00000;5;1;0;-0.04;20.50;;;EURUSD-Euro Scalper-0
2025.07.23 19:45:00;BASKET_TP_ASSIGN;EURUSD;5;101111;1.17243;1.17245;2;0;-1;0.00;0.00000;0.00000;0.00000;0;1;0;-0.04;20.50;;;vwap=1.17243; basket_tp=1.17213
2025.07.23 19:45:00;ORDER_MODIFY_ATTEMPT;EURUSD;5;101111;1.17243;1.17245;2;817;1;0.01;1.17243;0.00000;1.17213;0;0;0;-0.04;20.50;;;
2025.07.23 19:45:00;ORDER_MODIFY_RESULT;EURUSD;5;101111;1.17243;1.17245;2;817;1;0.01;1.17243;0.00000;1.17213;0;1;0;-0.04;20.50;;;
2025.07.23 19:55:00;ORDER_SEND_ATTEMPT;EURUSD;5;101111;1.17338;1.17340;2;0;1;0.01;1.17338;0.00000;0.00000;5;0;0;-0.99;20.50;;;EURUSD-Euro Scalper-1
